ID,0,1,2,3,4,5,6,7
device__attribute_maximum_surface1d_layered_layers,"2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048"
device__attribute_maximum_surface1d_layered_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_surface1d_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_surface2d_height,"65,536","65,536","65,536","65,536","65,536","65,536","65,536","65,536"
device__attribute_maximum_surface2d_layered_height,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_surface2d_layered_layers,"2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048"
device__attribute_maximum_surface2d_layered_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_surface2d_width,"131,072","131,072","131,072","131,072","131,072","131,072","131,072","131,072"
device__attribute_maximum_surface3d_depth,"16,384","16,384","16,384","16,384","16,384","16,384","16,384","16,384"
device__attribute_maximum_surface3d_height,"16,384","16,384","16,384","16,384","16,384","16,384","16,384","16,384"
device__attribute_maximum_surface3d_width,"16,384","16,384","16,384","16,384","16,384","16,384","16,384","16,384"
device__attribute_maximum_surfacecubemap_layered_layers,"2,046","2,046","2,046","2,046","2,046","2,046","2,046","2,046"
device__attribute_maximum_surfacecubemap_layered_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_surfacecubemap_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture1d_layered_layers,"2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048"
device__attribute_maximum_texture1d_layered_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture1d_linear_width,"268,435,456","268,435,456","268,435,456","268,435,456","268,435,456","268,435,456","268,435,456","268,435,456"
device__attribute_maximum_texture1d_mipmapped_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture1d_width,"131,072","131,072","131,072","131,072","131,072","131,072","131,072","131,072"
device__attribute_maximum_texture2d_gather_height,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture2d_gather_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture2d_height,"65,536","65,536","65,536","65,536","65,536","65,536","65,536","65,536"
device__attribute_maximum_texture2d_layered_height,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture2d_layered_layers,"2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048"
device__attribute_maximum_texture2d_layered_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture2d_linear_height,"65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000"
